"sample_id"	"param_a"	"param_b"	"param_c"
"1"	900	0.45133965815081	TRUE	"Absent"
"2"	901	0.517044416221321	FALSE	"Absent"
"3"	902	0.519687393015475	FALSE	"Absent"
"4"	903	0.520386122010276	TRUE	"Present"
"5"	904	0.438114936373445	FALSE	"Absent"
"6"	905	0.419565320980982	TRUE	"Present"
"7"	906	0.538620592778985	TRUE	"Absent"
"8"	907	0.457951611697144	TRUE	"Absent"
"9"	908	0.460971860753627	TRUE	"Absent"
"10"	909	0.575541507853161	TRUE	"Present"
"11"	910	0.526912563144707	TRUE	"Absent"
"12"	911	0.482632645373001	FALSE	"Absent"
"13"	912	0.53263751304757	TRUE	"Absent"
"14"	913	0.467026434799921	TRUE	"Present"
"15"	914	0.454310267629477	TRUE	"Present"
"16"	915	0.608500901839626	FALSE	"Absent"
"17"	916	0.485566464819213	FALSE	"Present"
"18"	917	0.468054219918991	TRUE	"Present"
"19"	918	0.411377152311644	FALSE	"Present"
"20"	919	0.494464355035865	FALSE	"Absent"
"21"	920	0.569041646157187	TRUE	"Absent"
"22"	921	0.547588755597376	FALSE	"Present"
"23"	922	0.56325339136652	FALSE	"Absent"
"24"	923	0.493301679725282	TRUE	"Absent"
"25"	924	0.560591563248082	FALSE	"Present"
"26"	925	0.487603735286544	TRUE	"Present"
"27"	926	0.46897564592409	TRUE	"Absent"
"28"	927	0.518554828381491	TRUE	"Present"
"29"	928	0.473885512965436	FALSE	"Absent"
"30"	929	0.535611560838581	FALSE	"Present"
"31"	930	0.467124314480409	FALSE	"Present"
"32"	931	0.545047180419205	TRUE	"Absent"
"33"	932	0.448629712785531	TRUE	"Present"
"34"	933	0.593087139896287	FALSE	"Present"
"35"	934	0.505684652677465	FALSE	"Present"
"36"	935	0.589931442834153	TRUE	"Absent"
"37"	936	0.520806836657736	TRUE	"Absent"
"38"	937	0.524479736243562	FALSE	"Present"
"39"	938	0.524775010438688	TRUE	"Present"
"40"	939	0.480857031867254	TRUE	"Absent"
"41"	940	0.490428924442853	FALSE	"Present"
"42"	941	0.553293282731214	TRUE	"Present"
"43"	942	0.5538529532476	TRUE	"Absent"
"44"	943	0.556555234157308	TRUE	"Present"
"45"	944	0.462085920466954	FALSE	"Absent"
"46"	945	0.446473799977491	FALSE	"Present"
"47"	946	0.527147992387795	TRUE	"Present"
"48"	947	0.495520191852055	TRUE	"Absent"
"49"	948	0.529155138754216	FALSE	"Present"
"50"	949	0.495053629794198	TRUE	"Present"
"51"	950	0.407408816582211	FALSE	"Present"
"52"	951	0.566560334059433	FALSE	"Present"
"53"	952	0.462034942226218	TRUE	"Present"
"54"	953	0.510347395325426	TRUE	"Absent"
"55"	954	0.518162291677814	TRUE	"Absent"
"56"	955	0.48767089942634	TRUE	"Absent"
"57"	956	0.514438755310475	FALSE	"Present"
"58"	957	0.502904956987253	FALSE	"Present"
"59"	958	0.439925671505517	TRUE	"Present"
"60"	959	0.58694223089644	FALSE	"Absent"
"61"	960	0.431445265357556	FALSE	"Absent"
"62"	961	0.48099512790495	FALSE	"Present"
"63"	962	0.430895795475433	TRUE	"Absent"
"64"	963	0.561735778160116	FALSE	"Absent"
"65"	964	0.502789561932476	FALSE	"Present"
"66"	965	0.494011388444603	TRUE	"Absent"
"67"	966	0.452680758820224	FALSE	"Absent"
"68"	967	0.590900592233	FALSE	"Absent"
"69"	968	0.553703259500218	FALSE	"Present"
"70"	969	0.502484044076403	TRUE	"Present"
"71"	970	0.500997248584238	FALSE	"Absent"
"72"	971	0.484364065438495	TRUE	"Absent"
"73"	972	0.495315816889216	TRUE	"Present"
"74"	973	0.389608689498671	FALSE	"Absent"
"75"	974	0.509829545023465	TRUE	"Present"
"76"	975	0.420646986598766	FALSE	"Present"
"77"	976	0.449344932374849	FALSE	"Absent"
"78"	977	0.481801252062801	TRUE	"Present"
"79"	978	0.45115934687688	FALSE	"Absent"
"80"	979	0.527406205910005	FALSE	"Absent"
"81"	980	0.586558898535056	TRUE	"Absent"
"82"	981	0.514856065182028	FALSE	"Present"
"83"	982	0.544801453504457	FALSE	"Present"
"84"	983	0.481388949626797	FALSE	"Present"
"85"	984	0.530759336126604	FALSE	"Absent"
"86"	985	0.554122180746508	TRUE	"Present"
"87"	986	0.622969421182714	TRUE	"Present"
"88"	987	0.459499456375733	FALSE	"Absent"
"89"	988	0.445395848798068	TRUE	"Absent"
"90"	989	0.508877538767393	TRUE	"Absent"
"91"	990	0.521055023892449	FALSE	"Absent"
"92"	991	0.501175602547661	FALSE	"Present"
"93"	992	0.491232386666799	TRUE	"Absent"
"94"	993	0.487845171995091	FALSE	"Absent"
"95"	994	0.390073445670514	TRUE	"Present"
"96"	995	0.497938799487531	TRUE	"Present"
"97"	996	0.588691014610792	FALSE	"Present"
"98"	997	0.556474733679252	TRUE	"Absent"
"99"	998	0.545728393597481	TRUE	"Absent"
"100"	999	0.486853919793557	FALSE	"Absent"
